username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
gailharris2018,Beyond Any Box. No Trains Please. 🚫,The Sunshine State 😎,1106,904,22537,3/19/2018 17:23,7/25/2020 18:46,0,@RealJamesWoods Glory Hole on #Plandemic2020 Bingo Card punched. #COVID19 #LiberalismIsAMentalDisorder #LiberalismIsAMentalDisease,"[{'text': 'Plandemic2020', 'indices': [30, 44]}, {'text': 'COVID19', 'indices': [65, 73]}, {'text': 'LiberalismIsAMentalDisorder', 'indices': [74, 102]}, {'text': 'LiberalismIsAMentalDisease', 'indices': [103, 130]}]"
LarryMcLau,,,10,9,5683,1/14/2012 1:30,7/25/2020 18:46,0,Hey @SenCoryGardner : Immigrant families need relief to survive the #COVID19 pandemic. Do your job and #StandWithImmigrants by supporting inclusive relief measures NOW. https://t.co/hYm2lWpz6k,"[{'text': 'COVID19', 'indices': [68, 76]}, {'text': 'StandWithImmigrants', 'indices': [103, 123]}]"
elisaperego78,Hon Res Associate @UCLarchaeology @marginality_IoA @CoPOWER_MSCA #archaeology #collapse #bioarchaeology #inequality #disability #LongCovid Lombardy (views own),"Vienna, Austria",577,686,7267,5/19/2011 9:56,7/25/2020 18:46,0,@MECFSNews @TomKindlon But I have also seen people in the #MECFS community and MDs/ researchers working on ME providing wrong or imprecise information on #COVID19. It's key to look at research on covid first and foremost before making certain claims or providing certain descriptions of #LongCovid,"[{'text': 'MECFS', 'indices': [58, 64]}, {'text': 'COVID19', 'indices': [154, 162]}, {'text': 'LongCovid', 'indices': [287, 297]}]"
DailyNewsEgypt,Egypt's Only Daily Independent Newspaper in English,Egypt,106,271823,84661,4/26/2009 7:56,7/25/2020 18:46,0,"#COVID19 sees varied market impacts of profits, losses on Egyptian companies https://t.co/vbY8l8ojW3","[{'text': 'COVID19', 'indices': [0, 8]}]"
LarryMcLau,,,10,9,5683,1/14/2012 1:30,7/25/2020 18:46,0,Hey @SenatorBennet : Immigrant families need relief to survive the #COVID19 pandemic. Do your job and #StandWithImmigrants by supporting inclusive relief measures NOW. https://t.co/wrcAZivzIk,"[{'text': 'COVID19', 'indices': [67, 75]}, {'text': 'StandWithImmigrants', 'indices': [102, 122]}]"
B_Free_Thinker,,,70,492,10535,12/2/2019 22:44,7/25/2020 18:46,0,@JennPinkowski PLANDEMIC DOCUMENTARY: THE HIDDEN AGENDA BEHIND COVID-19 https://t.co/IKrD3VKZJl #CoronaVirus,"[{'text': 'CoronaVirus', 'indices': [96, 108]}]"
robert_weiter,"IT guy, religious scholar,working in both IT and as a freelance journalist. Retweets do not imply endorsement.

Articles: https://t.co/SDdM7fIXvD",United States ,1189,387,15861,6/6/2017 9:36,7/25/2020 18:46,0,"2/ in-person classes.
#COVID19 #waiver #school #liability #sports #coronavirus 
Students won't be playing sports without these waivers in most school districts.","[{'text': 'COVID19', 'indices': [22, 30]}, {'text': 'waiver', 'indices': [31, 38]}, {'text': 'school', 'indices': [39, 46]}, {'text': 'liability', 'indices': [47, 57]}, {'text': 'sports', 'indices': [58, 65]}, {'text': 'coronavirus', 'indices': [66, 78]}]"
connie4georgia,Democrat. Advocate. Homeschool teacher under duress. Candidate for State Representative HD 44 by choice.,"Marietta, GA",285,212,178,3/10/2020 3:17,7/25/2020 18:46,0,".@ossoff, my thoughts are with you and your wife as you navigate this together. Thank you to Dr. Kramer and her incredible coworkers for working tirelessly during this scary time. Stay strong. 

Georgians: WEAR A MASK.
#gapol #covid19 https://t.co/BWUfJ7vMPd","[{'text': 'gapol', 'indices': [219, 225]}, {'text': 'covid19', 'indices': [226, 234]}]"
robert_weiter,"IT guy, religious scholar,working in both IT and as a freelance journalist. Retweets do not imply endorsement.

Articles: https://t.co/SDdM7fIXvD",United States ,1189,387,15861,6/6/2017 9:36,7/25/2020 18:46,0,"#Lawyer explains the new #COVID19 waiver that many school districts are requiring across the country for students play #sports, participate in other school activities, as reopening as being considered. Some schools require this for students to attend /2

 https://t.co/Yr7WOtsHRS","[{'text': 'Lawyer', 'indices': [0, 7]}, {'text': 'COVID19', 'indices': [25, 33]}, {'text': 'sports', 'indices': [119, 126]}]"
DNAwandar_er,"Scientist for @ring_tx, Volunteer for @INCOverseas","Boston, MA",584,249,1078,8/5/2010 3:16,7/25/2020 18:46,0,"I have a joke about #Coronavirus, but I am afraid that it will infect &amp; replicate out of control.

Couldn't resist participating in #IHaveAJoke","[{'text': 'Coronavirus', 'indices': [20, 32]}, {'text': 'IHaveAJoke', 'indices': [136, 147]}]"
